,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,SD,,80.00,,,,,,,,,,,,,
,,,,,,tau,10000,80.00,,,,,,,,,,,,,
,,,,,,visits,1,1.00,,,,,,,,,,,,,
M,N_C,N_W,,,,,R_C,R_W,,,,,Rcycle,Rsys,Tsys,U_W,,,,,Rsys-slope
67,65.92,1.080,,,,,10000,163.84,,,,,10163.84,163.84,0.0066,0.527,,,,,2.5
68,66.89,1.113,,,,,10000,166.40,,,,,10166.40,166.40,0.0067,0.535,,,,,2.6
69,67.85,1.147,,,,,10000,169.04,,,,,10169.04,169.04,0.0068,0.543,,,,,2.6
70,68.82,1.182,,,,,10000,171.76,,,,,10171.76,171.76,0.0069,0.551,,,,,2.7
71,69.78,1.218,,,,,10000,174.56,,,,,10174.56,174.56,0.0070,0.558,,,,,2.8
72,70.74,1.255,,,,,10000,177.45,,,,,10177.45,177.45,0.0071,0.566,,,,,2.9
73,71.71,1.294,,,,,10000,180.43,,,,,10180.43,180.43,0.0072,0.574,,,,,3.0
74,72.67,1.333,,,,,10000,183.50,,,,,10183.50,183.50,0.0073,0.581,,,,,3.1
75,73.63,1.374,,,,,10000,186.68,,,,,10186.68,186.68,0.0074,0.589,,,,,3.2
76,74.58,1.417,,,,,10000,189.95,,,,,10189.95,189.95,0.0075,0.597,,,,,3.3
77,75.54,1.460,,,,,10000,193.34,,,,,10193.34,193.34,0.0076,0.604,,,,,3.4
78,76.49,1.506,,,,,10000,196.84,,,,,10196.84,196.84,0.0076,0.612,,,,,3.5
79,77.45,1.552,,,,,10000,200.46,,,,,10200.46,200.46,0.0077,0.620,,,,,3.6
80,78.40,1.601,,,,,10000,204.20,,,,,10204.20,204.20,0.0078,0.627,,,,,3.7
81,79.35,1.651,,,,,10000,208.07,,,,,10208.07,208.07,0.0079,0.635,,,,,3.9
82,80.30,1.703,,,,,10000,212.08,,,,,10212.08,212.08,0.0080,0.642,,,,,4.0
83,81.24,1.757,,,,,10000,216.24,,,,,10216.24,216.24,0.0081,0.650,,,,,4.2
84,82.19,1.813,,,,,10000,220.54,,,,,10220.54,220.54,0.0082,0.657,,,,,4.3
85,83.13,1.870,,,,,10000,225.01,,,,,10225.01,225.01,0.0083,0.665,,,,,4.5
86,84.07,1.931,,,,,10000,229.64,,,,,10229.64,229.64,0.0084,0.673,,,,,4.6
87,85.01,1.993,,,,,10000,234.44,,,,,10234.44,234.44,0.0085,0.680,,,,,4.8
88,85.94,2.058,,,,,10000,239.44,,,,,10239.44,239.44,0.0086,0.688,,,,,5.0
